DATE,EX_NUM,m,n,t,ERROR_DXY,MEAN_METHOD,BOOL_ALPHA_THETA,LOW_RANK_APPROX_METHOD,LRA_ITE,APF_METHOD,APF_ITE,error_min,error_max,Sylvester_Matrix_Type 
18-Nov-2016 11:30:54,3,16,17,14,3.677946e-09,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-10,DT 
18-Nov-2016 11:30:55,1,7,7,4,8.454110e-09,None,n,None,0,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:31:01,1,7,7,4,3.487717e-08,None,n,None,0,None,0,1.000000e-12,1.000000e-08,TQ 
18-Nov-2016 11:31:03,3,16,17,14,3.677950e-09,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:31:09,1,7,7,4,1.519964e-10,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-10,T 
18-Nov-2016 11:31:11,3,16,17,14,3.856975e-10,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-10,TQ 
18-Nov-2016 11:31:16,1,7,7,4,3.150701e-11,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-10,DT 
18-Nov-2016 11:31:24,1,7,7,4,3.150876e-11,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:31:30,1,7,7,4,1.519998e-10,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-10,TQ 
18-Nov-2016 11:31:36,1,7,7,4,3.559404e-10,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-10,T 
18-Nov-2016 11:31:41,1,7,7,4,8.637671e-11,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-10,DT 
18-Nov-2016 11:31:47,1,7,7,4,8.637601e-11,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:31:49,3,16,17,14,2.151482e-10,None,y,None,0,None,0,1.000000e-12,1.000000e-10,T 
